Name,Thickness,Camber
goe615,0.136878,0.055979
goe617,0.138979,0.02198
goe619,0.138773,0.046003
goe620,0.175113,0.059397
goe621,0.151068,0.05064
goe622,0.080037,0.024252
goe623,0.120016,0.038421
goe624,0.159976,0.052226
goe625,0.200021,0.061477
goe626,0.167304,0.050887
goe627,0.157543,0.040574
goe628,0.16909,0.056456
goe629,0.136502,0.027957
goe63,0.082848,0.067125
goe630,0.12614,0.07664
goe632,0.140177,0.039684
goe633,0.138742,0.040022
goe645,0.156065,0.048191
goe646,0.184225,0.044758
goe647,0.164499,0.053273
goe648,0.152738,0.03902
goe650,0.13563,0.044448
goe652,0.170754,0.092849
goe654,0.145502,0.052358
goe655,0.140552,0.043914
goe670,0.090104,0.03401
goe673,0.108545,0.027717
goe675,0.149584,0.058831
goe676,0.119542,0.020134
goe677,0.119943,0.022445
goe679,0.183759,0.045377
goe681,0.169244,0.043512
goe682,0.106714,0.043308
goe683,0.198985,0.02971
goe685,0.132234,0.042422
goe692,0.161368,0.050293
goe693,0.120072,0.036307
goe701,0.124665,0.048773
goe702,0.169158,0.051212
goe703,0.195232,0.023335
goe704,0.129496,0.021541
goe711,0.148618,0.063228
goe723,0.116031,0.045236
goe735,0.201759,0.043748
goe738,0.15444,0.021398
goe741,0.153704,0.048368
goe744,0.145679,0.070277
goe746,0.098023,0.050516
goe758,0.138498,0.046889
goe766,0.120144,0.014841
goe767,0.119999,0.014911
goe769,0.1382,0.04806
goe770,0.209957,0.038062
goe775,0.209994,0.000222
goe776,0.249999,0.000218
goe777,0.22002,0.052115
goe780,0.120014,0.010362
goe79,0.062122,0.060165
goe795,0.080096,0.024521
goe795sm,0.080299,0.024412
goe796,0.120064,0.036189
goe797,0.160068,0.048977
goe798,0.200098,0.060697
goe801,0.098586,0.06133
goe802,0.098586,0.06133
goe802a,0.098259,0.061318
goe802b,0.098411,0.061294
goe803h,0.063012,0.06625
goe804,0.060617,0.06255
goe81,0.074319,0.063656
goe92,0.088942,0.055484
gs1,0.14,0.041875
gu255118,0.200042,0.071387
h105,0.200042,0.071387
hh02,0.095726,0.020279
hn1038,0.095726,0.020279
hobie,0.085182,0.038893
hobiesm,0.085755,0.038285
hq010,0.100006,0.000148
hq07,0.069994,0.000137
hq09,0.081136,0.000142
hq1010,0.09962,0.010043
hq1012,0.119609,0.010054
hq108,0.079733,0.010024
hq109,0.089814,0.010043
hq1510,0.099656,0.015018
hq1511,0.11002,0.014893
hq1512,0.119601,0.015032
hq158,0.079705,0.014951
hq1585,0.085713,0.01501
hq159,0.089686,0.015014
hq159b,0.08978,0.01497
hq2010,0.099707,0.020015
hq2012,0.119726,0.019972
hq208,0.079754,0.019955
hq209,0.089732,0.019961
hq2090sm,0.089732,0.019353
hq2195,0.095024,0.020944
hq2510,0.09966,0.024996
hq2511,0.110021,0.024762
hq2512,0.119633,0.025003
hq258,0.079679,0.024994
hq259,0.089665,0.024999
hq2590sm,0.090419,0.024536
hq259b,0.090417,0.025224
hq300gd2,0.165905,0.038913
hq3010,0.09985,0.029899
hq3011,0.10985,0.029938
hq3012,0.119796,0.029892
hq3013,0.129844,0.030066
hq3014,0.139833,0.029889
hq3015,0.149827,0.029887
hq308,0.079781,0.029914
hq309,0.089789,0.02991
hq3510,0.099648,0.034958
hq3512,0.119601,0.034956
hq3513,0.130033,0.034964
hq3514,0.140031,0.034968
hq3518,0.179994,0.034979
hq358,0.079693,0.034949
hq359,0.089697,0.034945
hsnlf213,0.132553,0.013512
iaw558,0.132553,0.013512
j5012,0.120034,1e-06
jn153,0.17577,0.083798
